crisis_name,start_date,end_date,asset,trading_days,mean_daily_return,total_return,std_return,max_drawdown,hit_rate
Dotcom Bubble Burst,2000-03-10,2002-10-09,AAPL,648,-0.0012445913521552277,-0.7838563853213238,0.0436642225212224,-0.8114949838316647,0.44598765432098764
Dotcom Bubble Burst,2000-03-10,2002-10-09,AMZN,648,-0.00022075138908743357,-0.7478878520359502,0.06329059059138693,-0.9440421779932859,0.46296296296296297
Dotcom Bubble Burst,2000-03-10,2002-10-09,DIA,648,-0.00032107903869756283,-0.2346954169432106,0.014388149024410376,-0.3502994025621927,0.47685185185185186
Dotcom Bubble Burst,2000-03-10,2002-10-09,GC=F,524,0.00033262285728073894,0.16684926332748562,0.008768678156028052,-0.08369248672337348,0.49427480916030536
Dotcom Bubble Burst,2000-03-10,2002-10-09,IEF,50,0.001492907429755268,0.07680629042770137,0.004912338873725232,-0.01523543856571452,0.64
Dotcom Bubble Burst,2000-03-10,2002-10-09,IWM,593,-0.0003924297314143811,-0.26851980300223544,0.01644038934038368,-0.3867289328206339,0.48903878583473864
Dotcom Bubble Burst,2000-03-10,2002-10-09,MSFT,648,-0.000787645323251603,-0.5644553392608396,0.030959251557061057,-0.6516264128471189,0.47685185185185186
Dotcom Bubble Burst,2000-03-10,2002-10-09,NVDA,648,0.000130643305589594,-0.7501678873278179,0.06386639285980115,-0.8972243627906007,0.4537037037037037
Dotcom Bubble Burst,2000-03-10,2002-10-09,QQQ,648,-0.002152375934610459,-0.8248035083232155,0.03295673015215574,-0.8296389940832403,0.4660493827160494
Dotcom Bubble Burst,2000-03-10,2002-10-09,SHY,50,0.0003203503930236473,0.016102014419668187,0.0012972057516420867,-0.004283183354161446,0.6
Dotcom Bubble Burst,2000-03-10,2002-10-09,SI=F,525,-0.00018644255278085463,-0.12008114163137695,0.010698957306947258,-0.195443670563473,0.5047619047619047
Dotcom Bubble Burst,2000-03-10,2002-10-09,SPY,648,-0.0007459900428621955,-0.42336652429998234,0.014950709089916652,-0.475158747444268,0.48302469135802467
Dotcom Bubble Burst,2000-03-10,2002-10-09,TLT,50,0.0022018330499492976,0.11485039530197239,0.007152236541149559,-0.0198199958334474,0.68
Dotcom Bubble Burst,2000-03-10,2002-10-09,XLB,648,-2.4093763633499948e-05,-0.12090932296846313,0.01802983167292692,-0.37561222920881965,0.47530864197530864
Dotcom Bubble Burst,2000-03-10,2002-10-09,XLE,648,-0.0002687784634242798,-0.22705189282029092,0.01727925406071874,-0.4153259290573661,0.4845679012345679
Dotcom Bubble Burst,2000-03-10,2002-10-09,XLF,648,0.0001304452732885034,-0.031683214558481776,0.018755519569244424,-0.36644437155939946,0.4984567901234568
Dotcom Bubble Burst,2000-03-10,2002-10-09,XLI,648,-0.0003642857117921078,-0.28103728912569625,0.016786667114026176,-0.4351923137743293,0.4984567901234568
Dotcom Bubble Burst,2000-03-10,2002-10-09,XLK,648,-0.0021296789553157352,-0.8061924489110417,0.02829827364466555,-0.8204650935444606,0.45524691358024694
Dotcom Bubble Burst,2000-03-10,2002-10-09,XLP,648,0.00016558723422058818,0.06684362753717088,0.012987461242876959,-0.32870507117498016,0.47530864197530864
Dotcom Bubble Burst,2000-03-10,2002-10-09,XLU,648,-0.0005285478905848456,-0.34379735335944217,0.015578978739624636,-0.5227241836886201,0.4876543209876543
Dotcom Bubble Burst,2000-03-10,2002-10-09,XLV,648,3.3677664960156686e-06,-0.07093438400841323,0.016107197008856843,-0.33268834276818526,0.5030864197530864
Dotcom Bubble Burst,2000-03-10,2002-10-09,XLY,648,-5.058101717099198e-05,-0.12596974273680317,0.018895298806712302,-0.31541055471950963,0.49537037037037035
