model,accuracy,precision,recall,f1,roc_auc,accuracy_std,f1_std
XGBoost,0.49459459459459454,0.5069260901141323,0.6744502997483253,0.5572542755848254,0.5157157318366545,0.013854555404711444,0.11000192248092895
RandomForest,0.5,0.5177964713420046,0.5909840471232064,0.5261768771759303,0.5029128779829463,0.019789083456296198,0.10782338939767518
LogisticRegression,0.4756756756756757,0.5079708947443211,0.4171090525307359,0.4045460331566878,0.49674648159072293,0.015694821072238154,0.18128560773677016
