feature,importance
breakeven_inflation_lag1,0.1825672893843138
treasury_10y_lag1,0.17296573483699684
spy_daily_return_lag1,0.13925697777442592
real_yield_lag1,0.1332492417808279
vix_level_lag1,0.11544923361979965
drawdown_lag1,0.048447127532286416
recession_flag_lag1,0.040616626104104
daily_return_lag1,0.029742334350765037
rolling_volatility_63d_lag1,0.028754922666056868
inflation_yoy_lag1,0.02747095180995084
fed_rate_lag1,0.021765866424267956
dollar_index_lag1,0.01849984822883299
rolling_volatility_21d_lag1,0.00793329077324751
rolling_corr_gold_spy_90d_lag1,0.003870825354016887
