asset,count,mean_return,median_return,std_return,min_return,max_return,mean_drawdown,max_drawdown,mean_volatility_21d,hit_rate
TSLA,3984,0.0020270450339026254,0.0011725022846602595,0.0361891734380642,-0.21062824320390794,0.24395075824616308,-0.2277478359283985,-0.736322174421912,0.03346705255345579,0.5159427567160432
NVDA,6860,0.0019459809674241132,0.0013727687970352953,0.037414285898444546,-0.35233603382425493,0.42414801678970715,-0.36303128415415,-0.8972243627906007,0.03271966347833759,0.5172765709287068
BTC-USD,4244,0.001824154348970748,0.0010900525845980447,0.03501216995469466,-0.37169538560117077,0.2524716942763181,-0.351917151771246,-0.8339900882218974,0.03130555627799515,0.524864482677351
AMZN,7285,0.0016775521934303177,0.0004885678748857147,0.03472971911106743,-0.24766067578651174,0.3447136193726128,-0.28220811538687873,-0.9440421779932859,0.028951974317216352,0.5104338275672707
ETH-USD,3095,0.0016423138442756666,0.0006318652289571958,0.04474139173743015,-0.42347221465293305,0.2645807079346558,-0.5432813537578068,-0.9396254038538314,0.04115380497111545,0.5103425985778927
AAPL,7548,0.0013216184951356353,0.000859365635179854,0.026300581326593287,-0.5186919359395392,0.33228064432464044,-0.20896998086777657,-0.8180144822987138,0.02287311306621674,0.5186166688750496
GOOGL,5459,0.0011093393122213583,0.0008825209530295419,0.019328624834895166,-0.11634146256481148,0.19991553500352732,-0.1306973937002624,-0.6529475769682853,0.01744565062883581,0.5267497251740564
META,3507,0.0011071505147448953,0.000988641204547669,0.025064930260478162,-0.26390102586707065,0.29611445548557747,-0.1520164685420293,-0.7673608856051737,0.022149401913765625,0.522532800912721
MSFT,7548,0.0007875337340043781,0.00038978731670402667,0.01934209354224636,-0.1559778087773268,0.1956523553360312,-0.24868996828930454,-0.6938622649878516,0.017233323903342136,0.5110639989399761
SI=F,6442,0.0006378605499058423,0.001036324408445921,0.02072208484927632,-0.31346844308759625,0.14025264653237324,-0.36171333435060926,-0.7584595804147046,0.01843295710763041,0.528489365005434
QQQ,6828,0.0005454574797831216,0.0011491123722393581,0.016980362016473804,-0.11978793315831204,0.16842051370581745,-0.328536090462258,-0.8296389940832403,0.014403201124595628,0.5454811776768712
SLV,5033,0.0005333053544214095,0.0008984491351040624,0.020813021365967604,-0.28540302491726877,0.14423077452112243,-0.44710914514947714,-0.7628015142556759,0.018418765976308375,0.5196740858505564
XLK,6880,0.0005100964632085934,0.0011158245420233026,0.0163311000191211,-0.13814034055963575,0.16101775838712618,-0.3515158724719584,-0.8204650935444606,0.01408014993086093,0.5403401657217619
XLE,6880,0.000503847536266459,0.0007752011145039095,0.01803300820476092,-0.20141182545541558,0.16474676067911176,-0.1802077977941453,-0.7126277917957133,0.015757935811582375,0.5199883704026748
GC=F,6440,0.0005016062221290734,0.0005034920252517949,0.011201961965043227,-0.11366200569716556,0.09027685201022217,-0.1352207700843817,-0.44363844125895235,0.010322146210085105,0.5272557850597919
IAU,5347,0.0004995613522346386,0.0006920626742884517,0.011437257596360153,-0.1020971032562723,0.11698660329756638,-0.15964057396471198,-0.45135137197133657,0.010398406621682508,0.5196408529741863
GLD,5395,0.00048361665057405044,0.0005927229554720803,0.011411546670270003,-0.10274245274560034,0.11290530102327678,-0.16157147947913594,-0.45555012734257017,0.010377811206246727,0.5317018909899889
XLY,6880,0.00047089517446936656,0.000902266659061679,0.014290217918469912,-0.1266862737616712,0.10888067949114233,-0.09573172004544159,-0.5904758144901043,0.012526524907822023,0.529001308329699
SPY,7548,0.00046014181729105613,0.0007064992436460749,0.01215951522655932,-0.10942387272140663,0.14519755587647798,-0.09867870379445559,-0.551894485120251,0.010422888223962796,0.5425997084934411
XLI,6880,0.00045096906935507855,0.0008477699878388645,0.013294483090181343,-0.11344148678210308,0.12651249743659032,-0.0926429969026796,-0.6226266263505549,0.011617138583200681,0.5346707370257305
IWM,6520,0.0004423536695566822,0.0010052345605680024,0.015068421766904237,-0.13266911903769807,0.09149151080302609,-0.10691937205141525,-0.5863999181050017,0.01345537865411793,0.5310630464795214
XLB,6880,0.00043004473352440276,0.0007303124823572205,0.01486680224570205,-0.12412118830777019,0.1405761673590804,-0.10946327405094591,-0.5982479323024148,0.013220536818681404,0.5211513301351941
DIA,7114,0.00041038092369215305,0.0006637979540282668,0.01170019790782547,-0.12761216771314132,0.1355596425121095,-0.07161843095400341,-0.5186836171710223,0.009861951458095222,0.5374666104316042
XLF,6880,0.0003834626629715177,0.000581528579971069,0.017868660932482707,-0.16666673085591088,0.1646190074121252,-0.2006568372430256,-0.8268653990508135,0.014262854543470689,0.5137374618403838
XLV,6880,0.00037768434751235183,0.0005476625469320595,0.011243598481029108,-0.09861012543619796,0.12054653546368765,-0.07146084817344062,-0.3917025545573618,0.0099752366999874,0.521296700101759
XLU,6880,0.0003765185598958337,0.0009151131254823142,0.012137640097926361,-0.11357741319189563,0.12793439209879898,-0.1032970127628802,-0.5227241836886201,0.01056550153212529,0.5319087076609973
XLRE,2655,0.00036431814888957003,0.0009293268833064916,0.012837960984966092,-0.16001141750007475,0.08780064393805564,-0.09672535850894637,-0.38824761015325415,0.011094336906950867,0.5324039186134137
XLP,6880,0.000307159081982708,0.0004666673528412879,0.009586176094253829,-0.09395630495558016,0.08510674251704864,-0.0705591262908568,-0.35889062186350185,0.008502085488780264,0.5205698502689344
TLT,5977,0.0001845619910453462,0.0004884627865586744,0.009023796546319957,-0.0666822398421224,0.07519561378001494,-0.1373032642346916,-0.48351153113864176,0.008390435826641895,0.5212516733601071
DBC,5090,0.00016884920252941118,0.0006565947330656741,0.012139101930442786,-0.07944429064906278,0.06874417706816938,-0.4632949613897472,-0.7636263464047515,0.011108846405546404,0.5166044409510709
IEF,5977,0.00015051160637720201,0.00023351305544461187,0.00429223404547952,-0.025072565558532878,0.034261671926259396,-0.0527002128506908,-0.2392477449317163,0.004009414916317855,0.517904953145917
SHY,5977,7.88419018308602e-05,0.0,0.0009586156757872711,-0.00656642559158771,0.009973940810725113,-0.005204779436874491,-0.05707100245289454,0.0008249059167831253,0.49715528781793844
UUP,4823,7.240576333010317e-05,0.0,0.005106876459301871,-0.03789365665605071,0.0406300206784691,-0.08936733779351519,-0.22190934225663672,0.004737766673125616,0.4863127333056823
USO,5046,1.4364379339021959e-05,0.0006901469316629161,0.02325319088131573,-0.2531500202969871,0.16666666666666674,-0.7524019620511544,-0.9818692538851106,0.02047402016011739,0.512388503468781
